ea_id,ea_latitude,ea_longitude,time,spei,saq06
10104088800405,14.25,38.25,2021-09-16,0.61855584,4
10104088800405,14.25,38.25,2021-10-16,0.5842581,4
10104088800405,14.25,38.25,2021-11-16,1.8154535,4
10104088800405,14.25,38.25,2021-12-16,1.193235,4
10104088800405,14.25,38.25,2022-01-16,1.3740834,4
10104088800405,14.25,38.25,2022-02-15,0.28548786,4
10104088800405,14.25,38.25,2022-03-16,0.54806954,4
10104088800405,14.25,38.25,2022-04-16,0.49346372,4
10104088800405,14.25,38.25,2022-05-16,-1.1455792,4
10104088800405,14.25,38.25,2022-06-16,-0.112631746,4
10104088800405,14.25,38.25,2022-07-16,-0.11751215,4
10104088800405,14.25,38.25,2022-08-16,1.2270919,4
10104088800405,14.25,38.25,2022-09-16,1.0070642,4
10104088800405,14.25,38.25,2022-10-16,1.5690478,4
10104088800405,14.25,38.25,2022-11-16,0.46271852,4
10104088800405,14.25,38.25,2022-12-16,0.97573435,4
10104088800405,14.25,38.25,2023-01-16,0.7735581,4
10104088800405,14.25,38.25,2023-02-15,-0.7880394,4
10104088800405,14.25,38.25,2023-03-16,0.32130396,4
10104088800405,14.25,38.25,2023-04-16,0.103854604,4
10104088800405,14.25,38.25,2023-05-16,-0.27125087,4
10104088800405,14.25,38.25,2023-06-16,-0.0131554585,4
10104088800405,14.25,38.25,2023-07-16,0.045993388,4
10104088800405,14.25,38.25,2023-08-16,-0.0027729028,4
10104088800405,14.25,38.25,2023-09-16,-0.3550153,4
10104088800405,14.25,38.25,2023-10-16,-0.7059838,4
10104088800405,14.25,38.25,2023-11-16,-0.7486429,4
10104088800405,14.25,38.25,2023-12-16,-0.4681985,4
10105088800712,14.25,37.75,2020-01-16,0.7141333,7
10105088800712,14.25,37.75,2020-02-15,0.75761545,7
10105088800712,14.25,37.75,2020-03-16,-0.24015808,7
10105088800712,14.25,37.75,2020-04-16,-0.8279546,7
10105088800712,14.25,37.75,2020-05-16,-0.39609748,7
10105088800712,14.25,37.75,2020-06-16,0.36240935,7
10105088800712,14.25,37.75,2020-07-16,0.42793953,7
10105088800712,14.25,37.75,2020-08-16,1.3066492,7
10105088800712,14.25,37.75,2020-09-16,1.3105204,7
10105088800712,14.25,37.75,2020-10-16,1.5125107,7
10105088800712,14.25,37.75,2020-11-16,0.004320018,7
10105088800712,14.25,37.75,2020-12-16,-1.0440805,7
10105088800712,14.25,37.75,2021-01-16,-1.1630821,7
10105088800712,14.25,37.75,2021-02-15,-1.5114502,7
10105088800712,14.25,37.75,2021-03-16,-1.2032529,7
10105088800712,14.25,37.75,2021-04-16,1.18853,7
10105088800712,14.25,37.75,2021-05-16,1.0054514,7
10105088800712,14.25,37.75,2021-06-16,0.9582333,7
10105088800712,14.25,37.75,2021-07-16,0.58594435,7
10105088800712,14.25,37.75,2021-08-16,0.38350257,7
10105088800712,14.25,37.75,2021-09-16,0.82902586,7
10105088800712,14.25,37.75,2021-10-16,0.8056334,7
10105088800712,14.25,37.75,2021-11-16,1.5924121,7
10105088800712,14.25,37.75,2021-12-16,0.79241073,7
10105088800712,14.25,37.75,2022-01-16,1.066927,7
10105088800712,14.25,37.75,2022-02-15,0.32251617,7
10105088800712,14.25,37.75,2022-03-16,0.3602543,7
10105088800712,14.25,37.75,2022-04-16,0.27928895,7
10105088800712,14.25,37.75,2022-05-16,-1.1611624,7
10105088800712,14.25,37.75,2022-06-16,0.41772327,7
10105088800712,14.25,37.75,2022-07-16,0.28581217,7
10105088800712,14.25,37.75,2022-08-16,1.4439524,7
10105088800712,14.25,37.75,2022-09-16,1.1629992,7
10105088800712,14.25,37.75,2022-10-16,1.633319,7
10105088800712,14.25,37.75,2022-11-16,0.2726279,7
10105088800712,14.25,37.75,2022-12-16,1.1013303,7
