min,max,mean,year,adm3_pcode
,,,2020-01-16T00:00:00.000000000,ET030507
,,,2020-01-16T00:00:00.000000000,ET030508
1.0477852821350098,1.0477852821350098,1.0477852821350098,2020-01-16T00:00:00.000000000,ET030509
,,,2020-01-16T00:00:00.000000000,ET030510
,,,2020-01-16T00:00:00.000000000,ET030511
,,,2020-01-16T00:00:00.000000000,ET030512
,,,2020-01-16T00:00:00.000000000,ET030513
,,,2020-01-16T00:00:00.000000000,ET030514
1.5492407083511353,1.5492407083511353,1.5492407083511353,2020-01-16T00:00:00.000000000,ET030515
,,,2020-01-16T00:00:00.000000000,ET030516
1.539136290550232,1.539136290550232,1.539136290550232,2020-01-16T00:00:00.000000000,ET030517
,,,2020-01-16T00:00:00.000000000,ET030518
,,,2020-01-16T00:00:00.000000000,ET030519
,,,2020-01-16T00:00:00.000000000,ET030520
,,,2020-01-16T00:00:00.000000000,ET030521
,,,2020-01-16T00:00:00.000000000,ET030522
1.4443694353103638,1.4443694353103638,1.4443694353103638,2020-01-16T00:00:00.000000000,ET030523
1.6818394660949707,1.6818394660949707,1.6818394660949707,2020-01-16T00:00:00.000000000,ET030524
,,,2020-01-16T00:00:00.000000000,ET030525
,,,2020-01-16T00:00:00.000000000,ET030526
,,,2020-01-16T00:00:00.000000000,ET030527
,,,2020-01-16T00:00:00.000000000,ET030595
,,,2020-01-16T00:00:00.000000000,ET030597
,,,2020-01-16T00:00:00.000000000,ET030598
,,,2020-01-16T00:00:00.000000000,ET030599
,,,2020-01-16T00:00:00.000000000,ET030601
,,,2020-01-16T00:00:00.000000000,ET030602
,,,2020-01-16T00:00:00.000000000,ET030603
,,,2020-01-16T00:00:00.000000000,ET030604
0.8744091391563416,0.8744091391563416,0.8744091391563416,2020-01-16T00:00:00.000000000,ET030605
,,,2020-01-16T00:00:00.000000000,ET030606
,,,2020-01-16T00:00:00.000000000,ET030607
1.2064480781555176,1.2064480781555176,1.2064480781555176,2020-01-16T00:00:00.000000000,ET030608
,,,2020-01-16T00:00:00.000000000,ET030609
,,,2020-01-16T00:00:00.000000000,ET030610
,,,2020-01-16T00:00:00.000000000,ET030611
,,,2020-01-16T00:00:00.000000000,ET030612
0.9444116950035095,0.9444116950035095,0.9444116950035095,2020-01-16T00:00:00.000000000,ET030613
,,,2020-01-16T00:00:00.000000000,ET030614
,,,2020-01-16T00:00:00.000000000,ET030615
,,,2020-01-16T00:00:00.000000000,ET030616
0.9891217350959778,0.9891217350959778,0.9891217350959778,2020-01-16T00:00:00.000000000,ET030617
,,,2020-01-16T00:00:00.000000000,ET030618
,,,2020-01-16T00:00:00.000000000,ET030619
,,,2020-01-16T00:00:00.000000000,ET030620
,,,2020-01-16T00:00:00.000000000,ET030621
,,,2020-01-16T00:00:00.000000000,ET030622
,,,2020-01-16T00:00:00.000000000,ET030623
,,,2020-01-16T00:00:00.000000000,ET030694
,,,2020-01-16T00:00:00.000000000,ET030698
,,,2020-01-16T00:00:00.000000000,ET030699
,,,2020-01-16T00:00:00.000000000,ET030701
0.8974400758743286,0.8974400758743286,0.8974400758743286,2020-01-16T00:00:00.000000000,ET030702
,,,2020-01-16T00:00:00.000000000,ET030703
,,,2020-01-16T00:00:00.000000000,ET030704
,,,2020-01-16T00:00:00.000000000,ET030705
,,,2020-01-16T00:00:00.000000000,ET030706
0.9324254989624023,0.9324254989624023,0.9324254989624023,2020-01-16T00:00:00.000000000,ET030707
,,,2020-01-16T00:00:00.000000000,ET030708
0.4392211139202118,0.4392211139202118,0.4392211139202118,2020-01-16T00:00:00.000000000,ET030709
,,,2020-01-16T00:00:00.000000000,ET030710
,,,2020-01-16T00:00:00.000000000,ET030711
,,,2020-01-16T00:00:00.000000000,ET030712
,,,2020-01-16T00:00:00.000000000,ET030713
,,,2020-01-16T00:00:00.000000000,ET030714
